Title,Price_USD,Description,Custom_Permalink,Expected_Gumroad_URL,ZIP_Path,Preview_Path,Status
Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 001,15.00,Premium themed Adult Creator 600 Ultimate Master Vault Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-001,https://wildbill3.gumroad.com/l/wb-bnd-001,/run/media/wildbill/storage/completed_bundles/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_001.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_001.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 002,15.00,Premium themed Adult Creator 600 Ultimate Master Vault Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-002,https://wildbill3.gumroad.com/l/wb-bnd-002,/run/media/wildbill/storage/completed_bundles/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_002.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_002.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 003,15.00,Premium themed Adult Creator 600 Ultimate Master Vault Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-003,https://wildbill3.gumroad.com/l/wb-bnd-003,/run/media/wildbill/storage/completed_bundles/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_003.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_003.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 001,15.00,Premium themed Adult Creator Smooth 600 Vault Vol Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-004,https://wildbill3.gumroad.com/l/wb-bnd-004,/run/media/wildbill/storage/completed_bundles/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_001.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_001.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 002,15.00,Premium themed Adult Creator Smooth 600 Vault Vol Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-005,https://wildbill3.gumroad.com/l/wb-bnd-005,/run/media/wildbill/storage/completed_bundles/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_002.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_002.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 003,15.00,Premium themed Adult Creator Smooth 600 Vault Vol Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-006,https://wildbill3.gumroad.com/l/wb-bnd-006,/run/media/wildbill/storage/completed_bundles/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_003.zip,/home/wildbill/wildbill_secure_vault/static/previews/Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_003.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 001,15.00,Premium themed Dark Luxury Red And Matte Black Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-007,https://wildbill3.gumroad.com/l/wb-bnd-007,/run/media/wildbill/storage/completed_bundles/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_001.zip,/home/wildbill/wildbill_secure_vault/static/previews/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_001.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 002,15.00,Premium themed Dark Luxury Red And Matte Black Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-008,https://wildbill3.gumroad.com/l/wb-bnd-008,/run/media/wildbill/storage/completed_bundles/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_002.zip,/home/wildbill/wildbill_secure_vault/static/previews/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_002.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 003,15.00,Premium themed Dark Luxury Red And Matte Black Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-009,https://wildbill3.gumroad.com/l/wb-bnd-009,/run/media/wildbill/storage/completed_bundles/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_003.zip,/home/wildbill/wildbill_secure_vault/static/previews/Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_003.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Minimalist High Contrast Crimson Vol1.Zip Collection Vol 001,15.00,Premium themed Minimalist High Contrast Crimson Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-010,https://wildbill3.gumroad.com/l/wb-bnd-010,/run/media/wildbill/storage/completed_bundles/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_001.zip,/home/wildbill/wildbill_secure_vault/static/previews/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_001.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Minimalist High Contrast Crimson Vol1.Zip Collection Vol 002,15.00,Premium themed Minimalist High Contrast Crimson Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-011,https://wildbill3.gumroad.com/l/wb-bnd-011,/run/media/wildbill/storage/completed_bundles/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_002.zip,/home/wildbill/wildbill_secure_vault/static/previews/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_002.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Minimalist High Contrast Crimson Vol1.Zip Collection Vol 003,15.00,Premium themed Minimalist High Contrast Crimson Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-012,https://wildbill3.gumroad.com/l/wb-bnd-012,/run/media/wildbill/storage/completed_bundles/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_003.zip,/home/wildbill/wildbill_secure_vault/static/previews/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_003.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Minimalist High Contrast Crimson Vol1.Zip Collection Vol 004,15.00,Premium themed Minimalist High Contrast Crimson Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-013,https://wildbill3.gumroad.com/l/wb-bnd-013,/run/media/wildbill/storage/completed_bundles/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_004.zip,/home/wildbill/wildbill_secure_vault/static/previews/Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_004.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
Glitchcore Cyber Web Vector Vol1.Zip Collection Vol 001,15.00,Premium themed Glitchcore Cyber Web Vector Vol1.Zip uniform layout art graphic asset pack collection.,wb-bnd-014,https://wildbill3.gumroad.com/l/wb-bnd-014,/run/media/wildbill/storage/completed_bundles/Glitchcore_Cyber_Web_Vector_Vol1.Zip_Collection_Vol_001.zip,/home/wildbill/wildbill_secure_vault/static/previews/Glitchcore_Cyber_Web_Vector_Vol1.Zip_Collection_Vol_001.jpg,"Create as Digital product, attach ZIP, set custom URL, then publish"
