row_index,title,zip_filename,sku,sku_source,current_gumroad_url,current_permalink,target_sku_permalink,target_gumroad_url,status,notes
1,Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 001,Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_001.zip,WB-BND-001,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-001,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-001,wb-bnd-001,https://wildbill.gumroad.com/l/wb-bnd-001,needs_update,Update Gumroad permalink to target_sku_permalink
2,Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 002,Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_002.zip,WB-BND-002,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-002,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-002,wb-bnd-002,https://wildbill.gumroad.com/l/wb-bnd-002,needs_update,Update Gumroad permalink to target_sku_permalink
3,Adult Creator 600 Ultimate Master Vault Vol1.Zip Collection Vol 003,Adult_Creator_600_Ultimate_Master_Vault_Vol1.Zip_Collection_Vol_003.zip,WB-BND-003,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-003,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-003,wb-bnd-003,https://wildbill.gumroad.com/l/wb-bnd-003,needs_update,Update Gumroad permalink to target_sku_permalink
4,Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 001,Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_001.zip,WB-BND-004,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-001,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-001,wb-bnd-004,https://wildbill.gumroad.com/l/wb-bnd-004,needs_update,Update Gumroad permalink to target_sku_permalink
5,Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 002,Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_002.zip,WB-BND-005,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-002,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-002,wb-bnd-005,https://wildbill.gumroad.com/l/wb-bnd-005,needs_update,Update Gumroad permalink to target_sku_permalink
6,Adult Creator Smooth 600 Vault Vol Vol1.Zip Collection Vol 003,Adult_Creator_Smooth_600_Vault_Vol_Vol1.Zip_Collection_Vol_003.zip,WB-BND-006,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-003,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-003,wb-bnd-006,https://wildbill.gumroad.com/l/wb-bnd-006,needs_update,Update Gumroad permalink to target_sku_permalink
7,Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 001,Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_001.zip,WB-BND-007,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-001,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-001,wb-bnd-007,https://wildbill.gumroad.com/l/wb-bnd-007,needs_update,Update Gumroad permalink to target_sku_permalink
8,Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 002,Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_002.zip,WB-BND-008,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-002,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-002,wb-bnd-008,https://wildbill.gumroad.com/l/wb-bnd-008,needs_update,Update Gumroad permalink to target_sku_permalink
9,Dark Luxury Red And Matte Black Vol1.Zip Collection Vol 003,Dark_Luxury_Red_And_Matte_Black_Vol1.Zip_Collection_Vol_003.zip,WB-BND-009,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-003,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-003,wb-bnd-009,https://wildbill.gumroad.com/l/wb-bnd-009,needs_update,Update Gumroad permalink to target_sku_permalink
10,Minimalist High Contrast Crimson Vol1.Zip Collection Vol 001,Minimalist_High_Contrast_Crimson_Vol1.Zip_Collection_Vol_001.zip,WB-BND-010,db_zip_filename,https://wildbill.gumroad.com/l/wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-001,wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-001,wb-bnd-010,https://wildbill.gumroad.com/l/wb-bnd-010,needs_update,Update Gumroad permalink to target_sku_permalink
