row_index,current_permalink,target_permalink,status,http_status,message
1,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-001,wb-bnd-001,updated,200,The product was not found.
2,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-002,wb-bnd-002,updated,200,The product was not found.
3,wildbill_adult-creator-600-ultimate-master-vault-vol1-zip-collection-vol-003,wb-bnd-003,updated,200,The product was not found.
4,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-001,wb-bnd-004,updated,200,The product was not found.
5,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-002,wb-bnd-005,updated,200,The product was not found.
6,wildbill_adult-creator-smooth-600-vault-vol-vol1-zip-collection-vol-003,wb-bnd-006,updated,200,The product was not found.
7,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-001,wb-bnd-007,updated,200,The product was not found.
8,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-002,wb-bnd-008,updated,200,The product was not found.
9,wildbill_dark-luxury-red-and-matte-black-vol1-zip-collection-vol-003,wb-bnd-009,updated,200,The product was not found.
10,wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-001,wb-bnd-010,updated,200,The product was not found.
11,wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-002,wb-bnd-011,updated,200,The product was not found.
12,wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-003,wb-bnd-012,updated,200,The product was not found.
13,wildbill_minimalist-high-contrast-crimson-vol1-zip-collection-vol-004,wb-bnd-013,updated,200,The product was not found.
14,wildbill_glitchcore-cyber-web-vector-vol1-zip-collection-vol-001,wb-bnd-014,updated,200,The product was not found.
15,wildbill_glitchcore-cyber-web-vector-vol1-zip-collection-vol-002,wb-bnd-015,updated,200,The product was not found.
16,wildbill_gothic-luxury-velvet-vol1-zip-collection-vol-001,wb-bnd-016,updated,200,The product was not found.
17,wildbill_gothic-luxury-velvet-vol1-zip-collection-vol-002,wb-bnd-017,updated,200,The product was not found.
18,wildbill_gothic-luxury-velvet-vol1-zip-collection-vol-003,wb-bnd-018,updated,200,The product was not found.
19,wildbill_crimson-cyberpunk-fetish-vol1-zip-collection-vol-001,wb-bnd-019,updated,200,The product was not found.
20,wildbill_crimson-cyberpunk-fetish-vol1-zip-collection-vol-002,wb-bnd-020,updated,200,The product was not found.
21,wildbill_crimson-cyberpunk-fetish-vol1-zip-collection-vol-003,wb-bnd-021,updated,200,The product was not found.
22,wildbill_dreamy-enchanted-garden-vol1-zip-collection-vol-001,wb-bnd-022,updated,200,The product was not found.
23,wildbill_dreamy-enchanted-garden-vol1-zip-collection-vol-002,wb-bnd-023,updated,200,The product was not found.
24,wildbill_grimy-streetwear-alternative-vol1-zip-collection-vol-001,wb-bnd-024,updated,200,The product was not found.
25,wildbill_grimy-streetwear-alternative-vol1-zip-collection-vol-002,wb-bnd-025,updated,200,The product was not found.
26,wildbill_grimy-streetwear-alternative-vol1-zip-collection-vol-003,wb-bnd-026,updated,200,The product was not found.
27,wildbill_dystopian-cyberpunk-noir-vol1-zip-collection-vol-001,wb-bnd-027,updated,200,The product was not found.
28,wildbill_dystopian-cyberpunk-noir-vol1-zip-collection-vol-002,wb-bnd-028,updated,200,The product was not found.
29,wildbill_dystopian-cyberpunk-noir-vol1-zip-collection-vol-003,wb-bnd-029,updated,200,The product was not found.
30,wildbill_industrial-metal-and-lace-vol1-zip-collection-vol-001,wb-bnd-030,updated,200,The product was not found.
31,wildbill_industrial-metal-and-lace-vol1-zip-collection-vol-002,wb-bnd-031,updated,200,The product was not found.
32,wildbill_industrial-metal-and-lace-vol1-zip-collection-vol-003,wb-bnd-032,updated,200,The product was not found.
33,wildbill_midnight-garden-soiree-vol1-zip-collection-vol-001,wb-bnd-033,updated,200,The product was not found.
34,wildbill_vaporwave-synthwave-fetish-vol1-zip-collection-vol-001,wb-bnd-034,updated,200,The product was not found.
35,wildbill_vaporwave-synthwave-fetish-vol1-zip-collection-vol-002,wb-bnd-035,updated,200,The product was not found.
36,wildbill_steamy-beach-getaway-vol1-zip-collection-vol-001,wb-bnd-036,updated,200,The product was not found.
37,wildbill_y2k-acid-glitch-vector-vol1-zip-collection-vol-001,wb-bnd-037,updated,200,The product was not found.
38,wildbill_aesthetic-lofi-chill-pixel-vol1-zip-collection-vol-001,wb-bnd-038,updated,200,The product was not found.
